area,time,OBS,EXP,pop,type,Average_cloud_volume,rain_fall,Average_temperature_(Celsius),wind_speed,Average_maximum_relative_humidity
Suphan Buri,2,21,16.53810969,845053,2,7.5,177.75,24.8,0.8,91.5
Surat Thani,2,6,19.80659845,1012064,2,6.25,114.575,26.125,2.15,93.75
Surin,2,6,27.01509855,1380399,2,6,176,23.36666667,2.166666667,85.33333333
Tak,2,21,10.39228774,531018,2,7.2,261.6,22.16,1,93.2
Trang,2,9,12.26498888,626708,2,6,353.5,25.7,3.2,85
Trat,2,3,4.344905403,222013,2,6,156.3,27,3.8,92
Ubon Ratchathani,2,10,35.54114341,1816057,2,7.5,237.55,23.6,3.4,86.5
Udon Thani,2,1,30.29722795,1548107,2,6,158.7,22,2.3,86
Uthai Thani,2,2,6.419789377,328034,2,0,0,0,0,0
Uttaradit,2,3,9.022783292,461040,2,7,166.8,24.7,0,85
Yala,2,3,9.663267044,493767,2,7,193.8,25.8,2.2,96
Yasothon,2,0,10.5456226,538853,2,5,237.55,0,0,88
Amnat Charoen,3,4,8.057587882,372241,2,7.5,237.55,0,0,88
Ang Thong,3,3,6.148829579,284061,2,8,227.4,0,0,88
Bangkok Metropolis,3,256,122.838554,5674843,2,7.25,213.94,26.475,2.825,81.5
Bueng Kan,3,0,8.823710388,407634,2,5,0,0,0,75
Buri Ram,3,32,33.74820184,1559085,2,6.5,310.05,23.4,1.55,88
Chachoengsao,3,26,14.70575106,679370,2,8,262.6,24.4,1.8,91
Chai Nat,3,2,7.213712372,333256,2,7,178.6,24.7,3.1,88
Chaiyaphum,3,6,24.40437755,1127423,2,7,158.5,24.7,2.3,75
Chanthaburi,3,12,11.18792552,516855,2,7,277.1,25.1,2.1,85
Chiang Mai,3,8,35.6326948,1646144,2,6,362.25,19.3,2.5,86
Chiang Rai,3,2,25.94629839,1198656,2,6,239.6,20.85,1.15,95.5
Chon Buri,3,73,28.97676066,1338656,2,7,127.94,21.06,3.44,82
Chumphon,3,8,10.65384984,492182,2,6,217,25.45,1.75,94
Kalasin,3,3,21.24906024,981655,2,6,157.3,21.7,5,87
Kamphaeng Phet,3,16,15.71530627,726009,2,7,297.2,24.5,1.4,93
Kanchanaburi,3,42,18.15926585,838914,2,6,192.8,24.8,0.65,88
Khon Kaen,3,3,38.22854548,1766066,2,7,100.4,22.8,2.7,84
Krabi,3,27,9.481861853,438039,2,6.5,115.5,27.55,2.9,91
Lampang,3,3,16.39770143,757534,2,6.666666667,323.4,22.96666667,0.6,94.33333333
Lamphun,3,3,8.74400923,403952,2,7,296.7,23,0.8,94
Loei,3,1,13.5271177,624920,2,6.5,212,21.4,1.35,93
Lop Buri,3,11,16.36724528,756127,2,7,154.05,24.6,2.4,82
Mae Hong Son,3,1,5.282701818,244048,2,7,209.35,22.05,0.25,96
Maha Sarakham,3,4,20.3416749,939736,2,7,190.5,23.2,2.8,87
Mukdahan,3,3,7.372270487,340581,2,6,161.3,23.4,1.8,83
Nakhon Nayok,3,1,5.494466191,253831,2,0,0,0,0,0
Nakhon Pathom,3,49,18.74695907,866064,2,7,125.9,23.8,1.6,94
Nakhon Phanom,3,0,15.2555202,704768,2,5.5,234.25,20.5,1.8,89
Nakhon Ratchasima,3,36,55.96235608,2585325,2,6.666666667,156.7666667,24.03333333,3.033333333,83.66666667
Nakhon Sawan,3,45,23.19788558,1071686,2,6.5,275.35,25.2,1.05,82
Nakhon Si Thammarat,3,52,33.03357555,1526071,2,6.666666667,177.2666667,25.93333333,1.733333333,97
Nan,3,0,10.31681915,476612,2,6.75,264.275,21.2,0.15,95.75
Narathiwat,3,8,16.17773316,747372,2,7,174.8,25.5,2.7,92
Nong Bua Lam Phu,3,3,10.87829886,502551,2,4,0,22.2,2.5,87
Nong Khai,3,0,11.0367271,509870,2,7,225.3,22.8,2.4,88
Nonthaburi,3,21,24.30056257,1122627,2,9,260.1,0,0,0
Pathum Thani,3,35,21.88205887,1010898,2,9,260.1,25.8,2.6,89
Pattani,3,3,14.36190182,663485,2,7,182.7,26.5,0.7,97
Phangnga,3,16,5.518276966,254931,2,6.5,161.25,25.6,1.4,83.5
Phatthalung,3,8,11.06255097,511063,2,7,405.9,27,1.8,92
Phayao,3,1,10.53025027,486472,2,6,24.7,26.4,2.2,94
Phetchabun,3,22,21.44716588,990807,2,7,247,21,0.6,96
Phetchaburi,3,15,10.08882015,466079,2,6,250.8666667,24.3,0.533333333,83.66666667
Phichit,3,31,11.89863386,549688,2,7,86.7,24.5,5.4,86
Phitsanulok,3,15,18.42860901,851357,2,8,236.9,24.6,1.5,94
Phra Nakhon Si Ayutthaya,3,22,17.04966209,787653,2,7,209.3,24.5,1.6,90
Phrae,3,1,9.930175453,458750,2,8,227.4,26.1,4.1,90
Phuket,3,9,7.659428432,353847,2,8,170.4,23,0.5,96
Prachin Buri,3,10,10.16616188,469652,2,6.5,167.25,28.1,3.15,87
Prachuap Khiri Khan,3,10,11.09512844,512568,2,6,112.9333333,25.03333333,2.333333333,83.66666667
Ranong,3,3,3.979624691,183849,2,7,546.3,26.1,2.3,88
Ratchaburi,3,41,18.24087187,842684,2,8,134.4,25.2,3.4,90
Rayong,3,34,13.80453487,637736,2,7,93.8,25.05,1.7,86.5
Roi Et,3,14,28.249493,1305058,2,6.5,188.1,23.35,3.55,85.5
Sa Kaeo,3,13,11.81005778,545596,2,6.5,145.65,25.1,1.3,86.5
Sakon Nakhon,3,0,24.31623439,1123351,2,5,340.25,21.1,1.25,89
Samut Prakan,3,67,26.0451564,1203223,2,7.5,101.4,25.66666667,4.766666667,79.66666667
Samut Sakhon,3,40,10.80355468,499098,2,7.5,101.4,0,0,0
Samut Songkhram,3,1,4.20121642,194086,2,0,0,0,0,0
Saraburi,3,25,13.43044595,620454,2,8,0,0,0,85
Satun,3,6,6.525602623,301467,2,7,302,27.4,1.6,83
Si Sa Ket,3,16,31.43461707,1452203,2,5,234.4,23.4,1.7,84
Sing Buri,3,4,4.623338168,213587,2,7,0,0,0,85
Songkhla,3,54,29.59051585,1367010,2,6.25,155.05,26.375,3.65,91.5
Sukhothai,3,15,13.02025124,601504,2,7,214.9,24.1,0.6,94.5
Suphan Buri,3,17,18.29215162,845053,2,7.5,177.75,24.8,0.8,91.5
Surat Thani,3,6,21.90729829,1012064,2,6.25,114.575,26.125,2.15,93.75
Surin,3,19,29.88033627,1380399,2,6,176,23.36666667,2.166666667,85.33333333
Tak,3,26,11.49450007,531018,2,7.2,261.6,22.16,1,93.2
Trang,3,9,13.56582103,626708,2,6,353.5,25.7,3.2,85
Trat,3,6,4.805728704,222013,2,6,156.3,27,3.8,92
Ubon Ratchathani,3,7,39.31065862,1816057,2,7.5,237.55,23.6,3.4,86.5
Udon Thani,3,0,33.51057031,1548107,2,6,158.7,22,2.3,86
Uthai Thani,3,1,7.10067613,328034,2,0,0,0,0,0
Uttaradit,3,0,9.979745157,461040,2,7,166.8,24.7,0,85
Yala,3,0,10.688159,493767,2,7,193.8,25.8,2.2,96
Yasothon,3,1,11.66409773,538853,2,5,237.55,0,0,88
Amnat Charoen,4,3,10.91579497,372241,2,8,206.25,0,0,88
Ang Thong,4,9,8.329957302,284061,2,8,179.7,0,0,88
Bangkok Metropolis,4,331,166.4121435,5674843,2,7.75,232.2,25.4,2.725,88
Bueng Kan,4,0,11.95367831,407634,2,7,0,0,0,75
Buri Ram,4,40,45.71944576,1559085,2,7,253.65,23.25,1.05,93
Chachoengsao,4,41,19.9222107,679370,2,8,208.8,25,1.6,95
Chai Nat,4,5,9.7725779,333256,2,7,190.2,24.9,1.6,91
Chaiyaphum,4,15,33.06115747,1127423,2,8,130.8,23.8,1.9,85
Chanthaburi,4,6,15.15653357,516855,2,8.5,448.05,24.95,1.6,91
Chiang Mai,4,3,48.27241062,1646144,2,6.5,209.75,17.85,3,81
Chiang Rai,4,7,35.15003221,1198656,2,7,249.7,20.4,1.2,95.5
Chon Buri,4,103,39.25546739,1338656,2,7.8,99.86,25.1,2.96,89.6
Chumphon,4,6,14.43300927,492182,2,7.5,165.7,27.3,1.8,96
Kalasin,4,6,28.78657836,981655,2,7,213,22.5,3.6,92
Kamphaeng Phet,4,21,21.28987778,726009,2,8,270.1,24,1.7,88
Kanchanaburi,4,68,24.60076463,838914,2,8,223.25,25.65,0.95,86.5
Khon Kaen,4,16,51.78906775,1766066,2,7,228.95,22.75,2.6,91
Krabi,4,16,12.84529086,438039,2,7,332.55,28.8,3.55,92.5
Lampang,4,2,22.21433381,757534,2,7,198.5,22.86666667,0.7,93.33333333
Lamphun,4,3,11.84570537,403952,2,7,253.4,23,0.8,93
Loei,4,3,18.32548966,624920,2,7,245.05,22.55,1.7,92.5
Lop Buri,4,7,22.17307418,756127,2,8,142,24.9,2.2,90
Mae Hong Son,4,3,7.156594604,244048,2,8.5,250.3,22.05,0.3,96
Maha Sarakham,4,5,27.55732309,939736,2,7,375.9,23.1,2.3,91
Mukdahan,4,2,9.987380133,340581,2,7,330,22.8,1.7,87
Nakhon Nayok,4,7,7.443476549,253831,2,0,0,18.2,0,0
Nakhon Pathom,4,33,25.39692581,866064,2,8,107.9,24.9,2.3,96
Nakhon Phanom,4,3,20.66699529,704768,2,7,631.1,22.05,1.6,89.5
Nakhon Ratchasima,4,49,75.8134586,2585325,2,7.333333333,206.2666667,23.33333333,2.8,90.66666667
Nakhon Sawan,4,92,31.42669575,1071686,2,7,209.3,25.1,1.1,87
Nakhon Si Thammarat,4,25,44.75132549,1526071,2,7,132.3,27.73333333,1.566666667,97
Nan,4,2,13.97642622,476612,2,6.75,386.85,20.925,0.2,96.75
Narathiwat,4,5,21.91633786,747372,2,7,133.6,27.8,3.4,91
Nong Bua Lam Phu,4,2,14.73707539,502551,2,5,0,22.2,2.5,94
Nong Khai,4,1,14.95170168,509870,2,8,700.8,21.3,2.5,89
Nonthaburi,4,31,32.92051699,1122627,2,9,115.9,0,0,0
Pathum Thani,4,29,29.6441158,1010898,2,9,115.9,24.9,2.9,91
Pattani,4,7,19.45639043,663485,2,8,143.6,28.8,1,95
Phangnga,4,19,7.47573354,254931,2,7.5,278.35,25.3,1,89.5
Phatthalung,4,12,14.98668585,511063,2,8,452.8,28.6,1.8,93
Phayao,4,6,14.26556616,486472,2,7,74.3,28.3,2,95
Phetchabun,4,58,29.05495652,990807,2,7,239.6,20.8,0.8,95
Phetchaburi,4,48,13.66755088,466079,2,7,190.4666667,23.96666667,0.6,88.33333333
Phichit,4,48,16.11934609,549688,2,8,138.7,25.2,6.1,88
Phitsanulok,4,42,24.96564984,851357,2,8,362.8,24.7,2.8,93
Phra Nakhon Si Ayutthaya,4,41,23.09755954,787653,2,8,275.5,23.9,2.1,88
Phrae,4,0,13.45263135,458750,2,8,179.7,24.8,3.1,90
Phuket,4,5,10.37639944,353847,2,8,277.8,23.4,0.8,95
Prachin Buri,4,18,13.77232745,469652,2,7,178.15,29,3,88.5
Prachuap Khiri Khan,4,15,15.03081928,512568,2,7.333333333,161.6333333,25.26666667,2.766666667,88.66666667
Ranong,4,4,5.391286801,183849,2,8,887.4,28.5,2,90
Ratchaburi,4,38,24.71131813,842684,2,8,141.1,25.3,3.4,93
Rayong,4,43,18.70131292,637736,2,8,166.7,25.25,1.75,89
Roi Et,4,24,38.2702216,1305058,2,7.5,204.6,23.2,2.7,92
Sa Kaeo,4,51,15.99935008,545596,2,7,185.55,25.7,1.4,90.5
Sakon Nakhon,4,2,32.94174795,1123351,2,7,340.65,21.95,1.4,93
Samut Prakan,4,95,35.28395737,1203223,2,8,130.75,24.7,4.666666667,83.33333333
Samut Sakhon,4,29,14.63581776,499098,2,8,130.75,0,0,0
Samut Songkhram,4,5,5.691482087,194086,2,0,0,0,0,0
Saraburi,4,34,18.19452627,620454,2,8,0,0,0,85
Satun,4,13,8.840380193,301467,2,7,92,29.1,1.7,85
Si Sa Ket,4,38,42.58518059,1452203,2,6,106.9,23.6,2.2,87
Sing Buri,4,2,6.263339882,213587,2,8,0,0,0,85
Songkhla,4,41,40.08693531,1367010,2,6.75,82.425,28.15,3.7,93.75
Sukhothai,4,24,17.6388263,601504,2,8,158.95,24.05,0.75,90.5
Suphan Buri,4,36,24.78078796,845053,2,8,124.5,25.55,1.15,91
Surat Thani,4,4,29.67830821,1012064,2,7,131.875,27.45,2.45,94
Surin,4,9,40.47956154,1380399,2,7.333333333,284.6333333,22.73333333,1.966666667,88.66666667
Tak,4,11,15.57185698,531018,2,8.4,242.12,22.5,1.48,90.4
Trang,4,12,18.37792193,626708,2,8,895.8,26.8,2.9,92
Trat,4,14,6.510428431,222013,2,7,331.2,28.6,4.2,92
Ubon Ratchathani,4,13,53.25503068,1816057,2,8,206.25,24.4,2.7,87.5
Udon Thani,4,1,45.39752099,1548107,2,7,392.6,22.3,2.5,89
Uthai Thani,4,10,9.619445168,328034,2,0,0,24.2,0,0
Uttaradit,4,3,13.51978453,461040,2,8,310,23.3,1,83
Yala,4,1,14.47948866,493767,2,7,151.5,28.4,2.2,97
Yasothon,4,3,15.80161473,538853,2,7.5,206.25,0,0,88
Amnat Charoen,5,23,25.6483421,372241,2,8,206.25,0,0,88
Ang Thong,5,19,19.57251809,284061,2,8,179.7,0,0,88
Bangkok Metropolis,5,760,391.0109704,5674843,2,7.75,232.2,25.4,2.725,88
Bueng Kan,5,1,28.08700891,407634,2,7,0,0,0,75
Buri Ram,5,117,107.4248819,1559085,2,7,253.65,23.25,1.05,93
Chachoengsao,5,111,46.81030347,679370,2,8,208.8,25,1.6,95
Chai Nat,5,15,22.96217745,333256,2,7,190.2,24.9,1.6,91
Chaiyaphum,5,47,77.68228325,1127423,2,8,130.8,23.8,1.9,85
Chanthaburi,5,73,35.6126108,516855,2,8.5,448.05,24.95,1.6,91
Chiang Mai,5,42,113.4234661,1646144,2,6.5,209.75,17.85,3,81
Chiang Rai,5,13,82.59041629,1198656,2,7,249.7,20.4,1.2,95.5
Chon Buri,5,148,92.23676878,1338656,2,7.8,99.86,25.1,2.96,89.6
Chumphon,5,6,33.91257898,492182,2,7.5,165.7,27.3,1.8,96
Kalasin,5,24,67.63850104,981655,2,7,213,22.5,3.6,92
Kamphaeng Phet,5,78,50.023848,726009,2,8,270.1,24,1.7,88
Kanchanaburi,5,99,57.80328676,838914,2,8,223.25,25.65,0.95,86.5
Khon Kaen,5,67,121.6863939,1766066,2,7,228.95,22.75,2.6,91
Krabi,5,33,30.18198996,438039,2,7,332.55,28.8,3.55,92.5
Lampang,5,5,52.19599987,757534,2,7,198.5,22.86666667,0.7,93.33333333
Lamphun,5,6,27.83330984,403952,2,7,253.4,23,0.8,93
Loei,5,19,43.05856138,624920,2,7,245.05,22.55,1.7,92.5
Lop Buri,5,57,52.09905403,756127,2,8,142,24.9,2.2,90
Mae Hong Son,5,11,16.81552165,244048,2,8.5,250.3,22.05,0.3,96
Maha Sarakham,5,32,64.7501764,939736,2,7,375.9,23.1,2.3,91
Mukdahan,5,7,23.46688839,340581,2,7,330,22.8,1.7,87
Nakhon Nayok,5,23,17.48959498,253831,2,0,0,18.2,0,0
Nakhon Pathom,5,73,59.67399012,866064,2,8,107.9,24.9,2.3,96
Nakhon Phanom,5,8,48.56028962,704768,2,7,631.1,22.05,1.6,89.5
Nakhon Ratchasima,5,133,178.1354017,2585325,2,7.333333333,206.2666667,23.33333333,2.8,90.66666667
Nakhon Sawan,5,227,73.84186362,1071686,2,7,209.3,25.1,1.1,87
Nakhon Si Thammarat,5,33,105.1501341,1526071,2,7,132.3,27.73333333,1.566666667,97
Nan,5,5,32.83976678,476612,2,6.75,386.85,20.925,0.2,96.75
Narathiwat,5,7,51.49581248,747372,2,7,133.6,27.8,3.4,91
Nong Bua Lam Phu,5,10,34.62702919,502551,2,5,0,22.2,2.5,94
Nong Khai,5,2,35.13132672,509870,2,8,700.8,21.3,2.5,89
Nonthaburi,5,85,77.35182677,1122627,2,9,115.9,0,0,0
Pathum Thani,5,68,69.65341737,1010898,2,9,115.9,24.9,2.9,91
Pattani,5,7,45.71578698,663485,2,8,143.6,28.8,1,95
Phangnga,5,28,17.56538775,254931,2,7.5,278.35,25.3,1,89.5
Phatthalung,5,8,35.21352742,511063,2,8,452.8,28.6,1.8,93
Phayao,5,11,33.51914561,486472,2,7,74.3,28.3,2,95
Phetchabun,5,128,68.26909689,990807,2,7,239.6,20.8,0.8,95
Phetchaburi,5,102,32.11401656,466079,2,7,190.4666667,23.96666667,0.6,88.33333333
Phichit,5,112,37.87488717,549688,2,8,138.7,25.2,6.1,88
Phitsanulok,5,98,58.66064079,851357,2,8,362.8,24.7,2.8,93
Phra Nakhon Si Ayutthaya,5,67,54.2712748,787653,2,8,275.5,23.9,2.1,88
Phrae,5,6,31.60903001,458750,2,8,179.7,24.8,3.1,90
Phuket,5,15,24.38094919,353847,2,8,277.8,23.4,0.8,95
Prachin Buri,5,36,32.36020526,469652,2,7,178.15,29,3,88.5
Prachuap Khiri Khan,5,30,35.31722571,512568,2,7.333333333,161.6333333,25.26666667,2.766666667,88.66666667
Ranong,5,4,12.66765898,183849,2,8,887.4,28.5,2,90
Ratchaburi,5,59,58.06304925,842684,2,8,141.1,25.3,3.4,93
Rayong,5,71,43.94161605,637736,2,8,166.7,25.25,1.75,89
Roi Et,5,104,89.92178199,1305058,2,7.5,204.6,23.2,2.7,92
Sa Kaeo,5,70,37.59293806,545596,2,7,185.55,25.7,1.4,90.5
Sakon Nakhon,5,11,77.4017122,1123351,2,7,340.65,21.95,1.4,93
Samut Prakan,5,192,82.90509409,1203223,2,8,130.75,24.7,4.666666667,83.33333333
Samut Sakhon,5,75,34.3891088,499098,2,8,130.75,0,0,0
Samut Songkhram,5,11,13.37301406,194086,2,0,0,0,0,0
Saraburi,5,79,42.75084274,620454,2,8,0,0,0,85
Satun,5,23,20.77183531,301467,2,7,92,29.1,1.7,85
Si Sa Ket,5,113,100.060443,1452203,2,6,106.9,23.6,2.2,87
Sing Buri,5,7,14.71668205,213587,2,8,0,0,0,85
Songkhla,5,39,94.19043077,1367010,2,6.75,82.425,28.15,3.7,93.75
Sukhothai,5,99,41.44514003,601504,2,8,158.95,24.05,0.75,90.5
Suphan Buri,5,72,58.22627932,845053,2,8,124.5,25.55,1.15,91
Surat Thani,5,4,69.73375771,1012064,2,7,131.875,27.45,2.45,94
Surin,5,59,95.11296658,1380399,2,7.333333333,284.6333333,22.73333333,1.966666667,88.66666667
Tak,5,38,36.58847716,531018,2,8.4,242.12,22.5,1.48,90.4
Trang,5,18,43.18175908,626708,2,8,895.8,26.8,2.9,92
Trat,5,20,15.29725467,222013,2,7,331.2,28.6,4.2,92
Ubon Ratchathani,5,63,125.1308996,1816057,2,8,206.25,24.4,2.7,87.5
Udon Thani,5,11,106.66847,1548107,2,7,392.6,22.3,2.5,89
Uthai Thani,5,6,22.6023685,328034,2,0,0,24.2,0,0
Uttaradit,5,23,31.76681678,461040,2,8,310,23.3,1,83
Yala,5,2,34.02178947,493767,2,7,151.5,28.4,2.2,97
Yasothon,5,7,37.12832839,538853,2,7.5,206.25,0,0,88
Amnat Charoen,6,21,38.87626395,372241,2,8,206.25,0,0,88
Ang Thong,6,32,29.66688359,284061,2,8,179.7,0,0,88
Bangkok Metropolis,6,1011,592.671668,5674843,2,7.75,232.2,25.4,2.725,88
Bueng Kan,6,9,42.57265315,407634,2,7,0,0,0,75
Buri Ram,6,295,162.8283826,1559085,2,7,253.65,23.25,1.05,93
Chachoengsao,6,222,70.95233314,679370,2,8,208.8,25,1.6,95
Chai Nat,6,21,34.80473193,333256,2,7,190.2,24.9,1.6,91
Chaiyaphum,6,112,117.746283,1127423,2,8,130.8,23.8,1.9,85
Chanthaburi,6,66,53.97952242,516855,2,8.5,448.05,24.95,1.6,91
Chiang Mai,6,61,171.9206875,1646144,2,6.5,209.75,17.85,3,81
Chiang Rai,6,43,125.1857454,1198656,2,7,249.7,20.4,1.2,95.5
Chon Buri,6,173,139.807125,1338656,2,7.8,99.86,25.1,2.96,89.6
Chumphon,6,4,51.40271315,492182,2,7.5,165.7,27.3,1.8,96
Kalasin,6,37,102.5225026,981655,2,7,213,22.5,3.6,92
Kamphaeng Phet,6,167,75.82323687,726009,2,8,270.1,24,1.7,88
Kanchanaburi,6,86,87.61485731,838914,2,8,223.25,25.65,0.95,86.5
Khon Kaen,6,125,184.4451524,1766066,2,7,228.95,22.75,2.6,91
Krabi,6,36,45.74810348,438039,2,7,332.55,28.8,3.55,92.5
Lampang,6,11,79.11565824,757534,2,7,198.5,22.86666667,0.7,93.33333333
Lamphun,6,13,42.18811087,403952,2,7,253.4,23,0.8,93
Loei,6,24,65.26566088,624920,2,7,245.05,22.55,1.7,92.5
Lop Buri,6,126,78.96871337,756127,2,8,142,24.9,2.2,90
Mae Hong Son,6,15,25.48798887,244048,2,8.5,250.3,22.05,0.3,96
Maha Sarakham,6,59,98.14454824,939736,2,7,375.9,23.1,2.3,91
Mukdahan,6,12,35.5697434,340581,2,7,330,22.8,1.7,87
Nakhon Nayok,6,29,26.50970999,253831,2,0,0,18.2,0,0
Nakhon Pathom,6,107,90.45036056,866064,2,8,107.9,24.9,2.3,96
Nakhon Phanom,6,16,73.60486028,704768,2,7,631.1,22.05,1.6,89.5
Nakhon Ratchasima,6,291,270.0072725,2585325,2,7.333333333,206.2666667,23.33333333,2.8,90.66666667
Nakhon Sawan,6,333,111.9251985,1071686,2,7,209.3,25.1,1.1,87
Nakhon Si Thammarat,6,36,159.3804525,1526071,2,7,132.3,27.73333333,1.566666667,97
Nan,6,4,49.77660686,476612,2,6.75,386.85,20.925,0.2,96.75
Narathiwat,6,13,78.05435496,747372,2,7,133.6,27.8,3.4,91
Nong Bua Lam Phu,6,18,52.48563518,502551,2,5,0,22.2,2.5,94
Nong Khai,6,14,53.25002002,509870,2,8,700.8,21.3,2.5,89
Nonthaburi,6,122,117.2453963,1122627,2,9,115.9,0,0,0
Pathum Thani,6,80,105.5765955,1010898,2,9,115.9,24.9,2.9,91
Pattani,6,8,69.29332876,663485,2,8,143.6,28.8,1,95
Phangnga,6,31,26.62459226,254931,2,7.5,278.35,25.3,1,89.5
Phatthalung,6,11,53.37461506,511063,2,8,452.8,28.6,1.8,93
Phayao,6,25,50.80636974,486472,2,7,74.3,28.3,2,95
Phetchabun,6,173,103.4783231,990807,2,7,239.6,20.8,0.8,95
Phetchaburi,6,206,48.67655693,466079,2,7,190.4666667,23.96666667,0.6,88.33333333
Phichit,6,250,57.40854925,549688,2,8,138.7,25.2,6.1,88
Phitsanulok,6,146,88.91438463,851357,2,8,362.8,24.7,2.8,93
Phra Nakhon Si Ayutthaya,6,89,82.26123918,787653,2,8,275.5,23.9,2.1,88
Phrae,6,13,47.91112771,458750,2,8,179.7,24.8,3.1,90
Phuket,6,12,36.95522355,353847,2,8,277.8,23.4,0.8,95
Prachin Buri,6,66,49.04971542,469652,2,7,178.15,29,3,88.5
Prachuap Khiri Khan,6,36,53.53179489,512568,2,7.333333333,161.6333333,25.26666667,2.766666667,88.66666667
Ranong,6,3,19.20090009,183849,2,8,887.4,28.5,2,90
Ratchaburi,6,97,88.00859017,842684,2,8,141.1,25.3,3.4,93
Rayong,6,102,66.60414374,637736,2,8,166.7,25.25,1.75,89
Roi Et,6,215,136.2982027,1305058,2,7.5,204.6,23.2,2.7,92
Sa Kaeo,6,91,56.98118721,545596,2,7,185.55,25.7,1.4,90.5
Sakon Nakhon,6,6,117.3210097,1123351,2,7,340.65,21.95,1.4,93
Samut Prakan,6,171,125.6627157,1203223,2,8,130.75,24.7,4.666666667,83.33333333
Samut Sakhon,6,66,52.1250093,499098,2,8,130.75,0,0,0
Samut Songkhram,6,21,20.27003626,194086,2,0,0,0,0,0
Saraburi,6,81,64.79923887,620454,2,8,0,0,0,85
Satun,6,23,31.48473883,301467,2,7,92,29.1,1.7,85
Si Sa Ket,6,123,151.6657949,1452203,2,6,106.9,23.6,2.2,87
Sing Buri,6,8,22.30668999,213587,2,8,0,0,0,85
Songkhla,6,52,142.7683721,1367010,2,6.75,82.425,28.15,3.7,93.75
Sukhothai,6,150,62.8201307,601504,2,8,158.95,24.05,0.75,90.5
Suphan Buri,6,65,88.2560048,845053,2,8,124.5,25.55,1.15,91
Surat Thani,6,4,105.6983707,1012064,2,7,131.875,27.45,2.45,94
Surin,6,138,144.1666981,1380399,2,7.333333333,284.6333333,22.73333333,1.966666667,88.66666667
Tak,6,66,55.45868384,531018,2,8.4,242.12,22.5,1.48,90.4
Trang,6,35,65.45239678,626708,2,8,895.8,26.8,2.9,92
Trat,6,26,23.18668816,222013,2,7,331.2,28.6,4.2,92
Ubon Ratchathani,6,131,189.6661337,1816057,2,8,206.25,24.4,2.7,87.5
Udon Thani,6,25,161.6818576,1548107,2,7,392.6,22.3,2.5,89
Uthai Thani,6,16,34.25935448,328034,2,0,0,24.2,0,0
Uttaradit,6,51,48.1502917,461040,2,8,310,23.3,1,83
Yala,6,4,51.56824805,493767,2,7,151.5,28.4,2.2,97
Yasothon,6,12,56.27695891,538853,2,7.5,206.25,0,0,88
Amnat Charoen,7,58,38.55674893,372241,2,8,459.4,0,0,88
Ang Thong,7,16,29.42305834,284061,2,8,132.4,0,0,88
Bangkok Metropolis,7,1052,587.8006366,5674843,2,7.75,281.68,28.375,2.7,83.75
Bueng Kan,7,1,42.22275836,407634,2,7,0,0,0,75
Buri Ram,7,232,161.4901338,1559085,2,7.5,309.85,24.15,1.3,90
Chachoengsao,7,241,70.36919233,679370,2,8,254.4,25.5,2.4,90
Chai Nat,7,36,34.51867989,333256,2,7,109.6,26.7,1.1,90
Chaiyaphum,7,76,116.7785536,1127423,2,8,325.8,25.2,3,81
Chanthaburi,7,54,53.53587721,516855,2,8,511.3,26.25,2,86.5
Chiang Mai,7,32,170.5077112,1646144,2,6.5,345.05,20.95,1.8,93
Chiang Rai,7,31,124.1568727,1198656,2,7,574.7,22.2,0.75,95.5
Chon Buri,7,150,138.6580825,1338656,2,7.8,210.48,27.58,2.92,86
Chumphon,7,10,50.98024614,492182,2,7.5,127.4,26.2,1.5,96
Kalasin,7,66,101.6798939,981655,2,7,383.3,23.9,4.9,85
Kamphaeng Phet,7,186,75.20006323,726009,2,8,108.7,26.1,1.3,89
Kanchanaburi,7,46,86.89477106,838914,2,7.5,239.95,26.5,0.85,90
Khon Kaen,7,174,182.9292404,1766066,2,7,218.7,24.8,2.75,87.5
Krabi,7,49,45.3721104,438039,2,7,293.8,27.25,3.65,97.5
Lampang,7,12,78.46542494,757534,2,7,258.7,24.06666667,0.7,96
Lamphun,7,5,41.84137654,403952,2,7,249.3,24.5,0.5,97
Loei,7,24,64.72925751,624920,2,7,369.95,23.6,1.4,93.5
Lop Buri,7,165,78.31968778,756127,2,8,123.85,26.6,2.8,83.5
Mae Hong Son,7,9,25.27850899,244048,2,8,341.35,22.2,0.5,96.5
Maha Sarakham,7,69,97.3379209,939736,2,7,167.5,24.8,2.9,85
Mukdahan,7,22,35.27740391,340581,2,7,532.4,25.3,2,84
Nakhon Nayok,7,25,26.29183281,253831,2,0,0,18.4,0,0
Nakhon Pathom,7,165,89.70696997,866064,2,8,233.5,25.5,2.5,93
Nakhon Phanom,7,23,72.99991896,704768,2,7,628,23.05,2.05,87
Nakhon Ratchasima,7,303,267.7881451,2585325,2,7.333333333,151.7666667,25.16666667,3.733333333,83.66666667
Nakhon Sawan,7,310,111.0053112,1071686,2,8,302.85,26.15,1.25,87
Nakhon Si Thammarat,7,30,158.0705414,1526071,2,7.333333333,218.3333333,26.9,1.666666667,98
Nan,7,4,49.36750445,476612,2,6.75,345.9,23.425,0.15,96.75
Narathiwat,7,14,77.41284427,747372,2,7,241.5,26.8,2.6,94
Nong Bua Lam Phu,7,12,52.05426789,502551,2,7,0,23.8,2.5,90
